Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
Diekirch premium pils;Diekirch;Luxembourg;13;Pils;basse;4,8;33 cl;Diekirch;Pils  jaune, cristalline, peu  saturée  en bulles fines. Mousse serrée et tenace. Arôme malté, nez agréable de  houblon . Saveur nette et maltée (bière pur  malt ), bien en bouche, légères amertume et post-amertume.  pils  très agréable, classique, bien faite et désaltérante tout en ayant du goût.;La brasserie Diekirch existe depuis 1871.;Diekirch premium pils;;
Diekirch réserve 1871;Diekirch;Luxembourg;13;Pils;basse;5,2;33 cl;Diekirch;Pils dorée, cristalline, peu  saturée , bulle fines, mousse serrée de tenue moyenne-faible. Arôme bien malté, bon nez, profond, riche et onctueux. Bière assez ronde, coule bien en bouche, légère amertume, post-amertume se prolongeant. Saveur toutefois moins riche que l'arôme.  pils  agréable.;Fournisseur de la cour Luxembourgeoise.;Diekirch réserve 1871;;
Dikke Mathile;Strubbe;Belgique;14,5;Spéciale;haute;6;25 cl;Ichtegem;Une spéciale  belge orange abricot, à mousse moyennement serrée, de tenue moyenne, subistant en crème sur 3 à 4 mm. Bière transparente, sauf si on lui ajoute un peu de sa  levure . Arôme acre de levure (petits paquets). Bière ronde, de corps et d'amertume moyenne. Bonne bière agréable.;;Dikke Mathile;;
Dikkenek;Dikkenek;Belgique;11;Spéciale;haute;5,5;25 cl;Hasselt;Une  spéciale  marron-acajou, limpide, à la mousse beige serrée assez stable. Odeur de  malt  aux tons de caramel, nez fin mais peu affirmé. Saveur nette de  caramel , douce et peu amère, restant en début de bouche. Peu de mâche, corps moyen, bouche un peu pâteuse. Bière perfectible, non extraordinaire;;Dikkenek;;
Dobbelen Bruinen;;;;;;;;;;;Dobbelen Bruinen;;
Dock Street;Dock Street Brewing Co.;U.S.A;13,5;Pale Ale;haute;5,2;35.5 cl;Philadelphie;Une bière ambrée-rousse limpide, à mousse serrée et légèrement crémeuse. Arôme profond de  malt  (subtile odeur de  caramel ) et de  houblon , assez ordinaire toutefois. Goût très présent du malt, bière assez sèche à l'amertume moyenne. Bon équilibre général pour cette bière très correcte.;Amber beer (Probable équivalent américain de la  Pale Ale );Dock Street;;
Donkle béer;Mousel;Luxembourg;13;Spéciale basse;basse;7;25 cl;Luxembourg;Bière brune foncée, mousse marron clair, crémeuse de tenue correcte. Arôme puissant, sans être trop doux, de  caramel  et de  malt  torréfié, qui évoque vaguement l'arôme  Guinness . Goût assez sec, amer-caramélisé, saveur grillée Coule bien mais corps moyen, légère post-amertume. Bonne bière agréable.;Bière sortie en 1986.;Donkle béer;;
Dos Equis;;Mexique;13;Pils;Basse;5,4;33 cl;;;;Dos Equis;;
Double blonde;Gigi;Belgique;9;Pils;basse;1,17;33 cl;Gerouville;Une pauvre en alcool dorée, mousse aérée d'assez courte tenue, saturation moyenne. Arôme léger de  houblon , et présence affirmée d'un  malt  sucré. Au goût ; manque évident d'alcool, bière bien maltée mais vraiment sucrée, amertume moyenne. Sorte de limonade au  malt  houblonnée.;Fabrication artisanale depuis 1888. Bière pauvre en alcool.;Double blonde;;
Double Enghien;De Silly Brouwerj;Belgique;13;Spéciale;Haute;7,5;25 cl;Silly;;;;;
Douglas scotch Ale;;Angleterre;12;Scotch Ale;haute;8,6;33 cl;Grande bretagne;Une  Ale  très forte et presque sirupeuse, à consommer comme réconfortant ! Arôme profond, mais saveur fortement caramélisée et assez sucrée, bière riche et lourde, que nous n'apprécions que moyennement.;;Douglas scotch Ale;;
Drie Fonteinen Framboise Lambic;Drie fonteinen;Belgique;16;Lambic;spontanée;5;75 cl;Beersel;Framboise lambic rose-orangée, sur lie, mousse peu tenace, saturation moyenne. Nez d'abord acide, avec une douceur fruitée d' arrière plan. Arômes boisé et de branchages verts. Saveur acide dominante, goût brut, framboise atténuée, assez peu présente. Excellent lambic réellement authentique.;Lambic du Drie Fonteinen à boire avec un sucre écrasé au fond du verre.;Drie Fonteinen Framboise Lambic;;
Drie Fonteinen Gueuze Lambic;Drie Fonteinen;Belgique;16;Lambic;spontanée;4,5;75 cl;Beersel;Gueuze  lambic  dorée, transparente (sur lie), bien saturée. Mousse claire tenace. Au nez, parfums boisés, verts et sûrs, mais ronds. Goût velouté et acide caractéristique, amertume légère et courte. Bouche fruitée (pomme verte, tons de kiwi et arrière goût doux de poire Williams.). Un must !;Véritable  gueuze  lambic de la région de Bruxelles.;Drie Fonteinen Gueuze Lambic;;
Duchesse de Bourgogne;Verhaege;Belgique;13;Spéciale;haute;6,2;25 cl;Vichte;Bière rouge acajou, limpide, finement saturée, mousse brune stable formant un chapeau. Nez typique des Oud Bruin, boisé, aigre et vert. Saveur sucrée en première bouche, puis aigrelette, mais la douceur subsiste et réduit le côté rafraîchissant typique de ce genre de bière. Dommage, perfectible.;Bière de type ' Oud Bruin '.;Duchesse de Bourgogne;;
Duivel's bier;Vanderlinden;Belgique;15;Spéciale;haute;6;25 cl;Halle;D'une chaude couleur boisée, limpide, moyennement  saturée , mousse abondante et assez tenace. Nez particulier, doux-sur (fruit confit). Heureux mariage équilibré et inhabituel de saveur caramélisées et acides. Arrière-goût aigrelet durable et agréable. Bonne bière à la saveur peu courante.;Mélange de haute et de spontanée ( lambic );Duivel's bier;;
Dulle Teve;De dolle Brouwers;Belgique;13;Pils;Basse;10;25 cl;Esen;;;;;
Duvel rouge;Moortgat;Belgique;18;Spéciale;haute;8,5;33 cl;Breendonk;Blonde, mousse abondante et assez serrée, de longue tenue, belle accroche. Limpide (sur  levure ). Goût puissant, délicat et corsé. Belle amertume, post amertume marquée, de durée moyenne. Arôme de  houblon  frais, bouche longue délicate; complexe et puissante. Nez riche, de  levure  fruitée. Superbe !;Sans produits chimiques, nécessite son verre spécial pour être bue.;Duvel rouge;;
Duvel verte;Moortgat;Belgique;14,5;Spéciale;haute;7,5;25 cl;Breendonk;Une bonne bière blonde, corsée, savoureuse. Néanmoins, la Duvel verte ne vaut pas la Rouge du même nom , elle est filtrée (il n'y a plus de levures en bouteille, la bière est cristalline, elle n'évolue plus en bouteille). Manque du fruité et de l'acreté de la Duvel rouge.;Bière blonde de fermentation haute, filtrée;Duvel verte;;
Eau Bénite;Unibroue;Canada;11;Spéciale;Haute;7,7;33 cl;Chambly;;;;;
Echte kriek;Verhaege;Belgique;11;Spéciale;haute;6,2;25 cl;Belgique;Une  spéciale  belge, parfumée à la cerise. Bière un peu caramélisée, mixture bizarre, mélangeant grossièrement  caramel  et cerises. Manque d'équilibre, manque d'âme,  kriekenbier  très moyenne.;Brasserie Verhaege;Echte kriek;;
Edelpils;Battin;Luxembourg;13,5;Pils;basse;4,8;33 cl;Esch sur Alzette;Une  pils  claire et limpide, jolie mousse blanche, serrée et de durée moyenne. Bière bien houblonnée (l'amertume persiste en bouche) et légère. Arôme de  malt  et de  houblon  bien présent, bonne  pils  agréable.;Bière spécialement houblonnée (dixit étiquette).;Edelpils;;
Edinburg Strong Ale;The Caledonian;Angleterre;13;Ale;haute;6,4;500 ml;Edinburg;Bière orangée, mousse très fine;;Edinburg Strong Ale;;
Eggenberg Svetle 12%;Eggenberg;République Tchéque;13;Pils;basse;3,1;50 cl;Cesky Krumlov;Dorée, limpide, très saturée, mousse blanche et serrée. Arôme de  malt  net et franc, nez évoquant les houblons amérisants tchéques, subtils tons fumés Bouche aux contours nets, amertume bien présente, post-amertume longue. Corps dense, bouche pleine et douce.  Pils  corsée, à déguster fraîche.;Bière brassée à Cesky Krumlov (République Tchéque);Eggenberg Svetle 12%;;
Eggenberg Tmavé 10%;Eggenberg;République Tchéque;13;Spéciale basse;basse;3;50 cl;Cesky Krumlov;Marron claire, limpide, mousse beige claire serrée et tenace, saturation moyenne. Arôme fin de  malt  caramel, houblonnage léger et fruité. Saveur assez sèche, bouche au léger goût de  caramel  et de  houblon , amertume nette, post-amertume tenace. Arrière oût caramel brûlé amer. Correcte, sans plus.;Bière brassée en République Tchéque, à Cesky Krumlov.;Eggenberg Tmavé 10%;;
Eggenberger Urbock;Eggenberg;Autriche;14;Bock;basse;9,6;33 cl;Vorchdorf;Bière blonde-dorée, voire ambrée, cristalline. Arôme très profond de  malt  bien houblonné, arôme très doux et puissant, belle mousse onctueuse. Saveur pleine et amère, post-amertume et légère âpreté, bière sucrée très moelleuse et  capiteuse . Bonne bière, très riche, forte et sucrée.;Bière  bock  autrichienne.;Eggenberger Urbock;;
Egmont;Crombe;Belgique;14;Spéciale;haute;7;33 cl;Zottegem;Spéciale de couleur jaune, voilée, mousse blanche serrée et abondante. Nez affirmé mais assez frais de  houblon  et  levure . Saveur corsée et amère ample, ronde et aromatique. Bonne bouche agréable, coule harmonieusement. Corsée, amère, goût de  levure marqué, saveur peu épicée. Bière agréable.;Bière au goût évolutif.;Egmont;;
Eichbaum Leichter Typ;Eichbaum;Allemagne;11,5;Pils;basse;2;33 cl;Mannheim;Pils  pâle, limpide, peu saturée, belle mousse blanche serrée. Arôme frais de  malt , nez herbacé agréable. Bouche correcte, maltée sans excès, assez amère. Bouche de céréales manquant de relief alcoolisé et de fruité. Quand même assez agréable pour une 'légère en alcool';;Eichbaum Leichter Typ;;
EKU 28;Erste Kulmbacher;Allemagne;15;Doppelbock;basse;11;33 cl;Kulmbach;Bière orangée, limpide, finement saturée. Mousse beige très fugace. Arôme puissant et liquoreux, nez sucré intensément malté. Saveur sucrée, goût de  caramel . Bouche très moelleuse, ample, ronde et liquoreuse voire sirupeuse. Amertume très faible, tons fumés discrets. Bière tout à fait extraordinaire;Une des bières les plus fortes du monde !;EKU 28;;
Elckerlijc;Callewaert;Belgique;14,5;Spéciale;haute;5,5;25 cl;Zwevezele;Rousse-rouge, limpide,  saturation  normale, chapeau de mousse fine et stable Nez de classe, aigre-doux, fin mais franc, tons vineux aux subtilités de  caramel . Légère astrigence, bonne bouche boisée aigrelette et fruitée, peu acre. Arrière goût amer de vieux  houblon , équilibré et teinté de  futaille .; Spéciale  aigre-douce, post-amertume équilibrée. Agréable à déguster.;Elckerlijc;;
Ename double;Roman;Belgique;13;Abbaye;haute;6,5;33 cl;Oudenaarde;Marron foncé, rougeâtre, limpide, mousse beige subsistant sur 4 mm. Nez malté fin et équilibré, légèrement caramélisé. Saveur mi-douce peu amère, assez profonde, peu épicée, peu âcre, bonne présence du  malt  en bouche arrière bouche douce équilibrée. Légère, coule bien mais manque de relief.;Bière de l' abbaye  St sauveur d'Ename. Bière sur  levure;Ename double;;
Ename triple;Roman;Belgique;15;Abbaye;haute;9;33 cl;Oudenaarde;Jaune-doré, limpide, bien  saturée  en grosses bulles, mousse blanche serrée et abondante. Excellent nez frais, fin et fruité de  houblon , arrière tons de liqueur. Saveur ample, forte, douce, un peu piquante, amertume légère. Houblon et  levure  aromatiques, post-amertume peu marquée. Virile et douce.;Bière de l' abbaye  Saint-Sauveur d'Ename. Alcoolisée et douce.;Ename triple;;
Epi de Facon;Facon;France;12;Pils;basse;5,5;25 cl;St Léonard;Bière blonde, limpide. Goût assez puissant et houblonné sans excés. Bière de type  pils , avec froment, non acide, de qualité moyenne.;Bière spéciale de froment.;Epi de Facon;;
Erdinger Weißbier;Erdinger;Allemagne;12,5;Blanche;haute;5,3;50 cl;Erding;Dépôt de  levure , très saturée, mousse blanche crémeuse, abondante et stable Au nez, présence de céréales moyennement marquée, peu d'acidité. Saveur assez nette et subtile, corps moyen, bouche à peine acide. Bière certes agréable, mais peu rafraîchissant. Correcte, mais sans plus.;Bière  blanche  de type;Erdinger Weißbier;;
Escudo;;Chili;;;;;;;;;Escudo;;
Ex bier;zum Gurten;Suisse;12;Spéciale basse;basse;1;25 cl;Bern;Jaune or, transparente. Mousse très aérée et de faible tenue. Léger parfum de  malt , qui subsiste, ainsi qu'une certaine amertume, surtout en fond de bouche. Agréable, pour une 'sans alcool';Sans alcool;Ex bier;;
Extra Pilsener;Moortgat;Belgique;14;Pils;basse;5;25 cl;Breendonk;Une  pils  assez pâle, jolie mousse, très bien maltée et assez fortement houblonnée. Bonne  pils , corsée.;Pils de chez Moortgat;Extra Pilsener;;
Eylenbosch Gueuze lambic;Eylenbosch;Belgique;14,5;Lambic;spontanée;6;33 cl;Schepdaal;Ambrée. Belle mousse assez fugace. Parfum de cidre. Goût équilibré et subtil, moins sucré que d'autres Gueuzes Bonne  gueuze  dans l'ensemble.;;Eylenbosch Gueuze lambic;;
Eylenbosch Kriek lambic;Eylenbosch;Belgique;14;Lambic;spontanée;5;25 cl;Schepdaal;Belle couleur rouge , mousse bien formée . Bonne kriek .;;Eylenbosch Kriek lambic;;
Fakir;La binchoise;Belgique;14,5;Spéciale;haute;6,8;33 cl;Binche;Spéciale  dorée, limpide (sur  levure ), peu saturée, mousse blanche abondante fine et stable. Nez profond, doux et bien malté, aromatique et relevé, tons de  levure  /  houblon . Saveur parfumée de coriandre, bouche douce, fruitée et ronde. Amertume, corps et acreté moyens. Ampleur, fruité, rondeur.;Harmonie de fruité, rondeur et ampleur, malgré le manque de relief épicé.;Fakir;;
Falsbourg;Union de brasseries;France;10;Pils;basse;4,8;25 cl;Paris;Une  pils  limpide, bien   saturée  en gaz, belle mousse retombant assez vite. Parfum ordinaire, goût bien malté,  pils  très moyenne, typiquement française. Sans commentaire.;;Falsbourg;;
Faro extra;Eylenbosch;Belgique;14;Lambic;spontanée;4,5;75 cl;Schepdaal;Faro cuivré, limpide, peu saturé à la mousse beige claire fugace . Très bon nez subtilement doux et boisé, aigrelet. Goût suret sans excès, typique du faro (bière coupée), mi-doux sans excès, légèrement malté et acide (fond de bouche). Bonne présence, bon corps malgré sa (relative) légèreté.;Véritable  faro . (mélange de  lambic  et de petite bière, puis édulcoré);Faro extra;;
Feldschlösschen Dunkle Perle;Feldschlösschen;Suisse;13,5;Spéciale basse;basse;5,5;25 cl;Rheinfelden;Acajou, assez foncée. Mousse assez aérée et de tenue faible. Subtil parfum de  malt  caramélisé, amertume délicate, bonne pour servir à l'apéritif. Fraîcheur d'une  pils  et moelleux du  caramel  en font un breuvage agréable.;;Feldschlösschen Dunkle Perle;;
Feldschlösschen lager bier;Feldschlösschen;Suisse;13;Pils;basse;4,8;29 et 58 cl;Rheinfelden;Jaune pâle, assez belle mousse de tenue faible. Assez amère, elle a un certain cachet de  malt , mais reste moyenne. Rafraîchissante.;;Feldschlösschen lager bier;;
Felix Kriek;Clarysse;Belgique;11;Spéciale;haute;6;37.5 cl;Oudenaarde;Une brune parfumée à la cerise, arrière goût de  caramel , peu de corps. Goût de cerise bien trop présent, bière tout à fait moyenne. Manque de profondeur.;Bière brune à la cerise ( kriekenbier );Felix Kriek;;
Felix oud bruin;Clarysse;Belgique;12;Spéciale;haute;4,8;25 cl;Oudenaarde;Rouge-ambrée, cristalline, bien  saturée  en bulles moyennes, mousse serrée de faible tenue. Arôme vineux bien malté, nez piquant aux nuances fumées. Saveur aigre-douce, acide et  astringente , évoluant vers un moelleux plus marqué et caramélisé. Arrière goût durable, acide et caramélisé. Moyenne;;Felix oud bruin;;
Fischer Kriek;Fisher/Pêcheur;France;7;Pils;basse;6,5;25 cl;Schilitigeim;Une imitation de KRIEK bien pâle en regard des véritables kriek lambic et  kriekenbier  belges. Sucrée, goût de cerise bizarre. Aucune âme, bière très moyenne. Mélange probable de  pils  et de sirop de cerises.;Bière blonde parfumée à la cerise.;Fischer Kriek;;
Flandrien;Louwaege;Belgique;12,5;Spéciale;haute;5;25 cl;Kortemarke;Une blonde très légèrement ambrée, mousse d'abondance moyenne et d'assez courte durée. Assez bon parfum de  houblon  et de  malt , bière correcte, très léger arrière goût d'alcool, amertume moyenne.;Bière blonde de fermentation haute.;Flandrien;;
Floreffe;Lefebvre;Belgique;15;Abbaye;haute;8;33 cl;Quenast;Acajou foncé, limpide, bien  saturée . Mousse beige crémeuse assez stable. Arôme de liqueur épicée, riche et profond, piquant et doux. Harmonie goût- odorat. Attaque franche et épicée, douceur couvrant l'acreté, bouche très aromatique et structurée. Post-amertume et arrière goût pleins.  capiteuse .;Ne pas verser la  levure . Existe depuis 1983.  abbaye  forte et  capiteuse .;Floreffe;;
Floreffe blonde;Lefebvre;Belgique;12;Abbaye;haute;6,5;25 cl;Quenast;Blonde dorée, transparente mais non limpide, mousse blanche et serrée assez stable. Peu  saturée . Nez aromatique houblonné et profond. Saveur maltée mi-douce, coule bien mais ne marque pas les papilles, peu épicée, peu amère Son goût n'est pas désagréable mais manque de corps et de caractère.;Bière de l' abbaye  de  Floreffe , filtrée, à l'arôme agréable.;Floreffe blonde;;
Floreffe double;Lefebvre;Belgique;14,5;Abbaye;haute;7;33 cl;Quenast;Rouge-acajou clair, limpide (sur lie), crème beige abondante et stable. Peu  saturée . Nez de  caramel , nuances liquoreuses rehaussant l'arôme fin et subtil. Bonne bouche assez ronde et douce, acreté et amertume persistantes. Force et équilibre aromatique du goût. Bonne bière, léger manque de relief;Un classique des bières d' abbaye  sur  levure .;Floreffe double;;
Floreffe triple;Lefebvre;Belgique;15,5;Abbaye;haute;7,5;33 cl;Quenast;Dorée-ambrée, limpide (sur lie), mousse blanche abondante, serrée, tenace Bien  saturée . Arôme riche et profond de  malt caramel, nez acre ( levure ) et alcoolisé. Saveur douce, amertume et acreté aromatiques, nuances épicées. Belle attaque, bouche pleine, arrière goût de  houblon  riche et durable.;Bière de l' abbaye de Floreffe, sur lie. Bouche riche, arôme prononcé.;Floreffe triple;;
Florisgaarden Fraise;Huyghe-Melle;Belgique;13;Spéciale;Haute;3;33 cl;Gand;Kriek à la fraise.;;;;
Florisgaarden Ninkeberry;Huyghe-Melle;Belgique;12;Spéciale;Haute;3;33 cl;Gand;Kriek aux fruits melangés, fort de fruit de la passion. ;;;;
Frank Boon Franboise;Boon;Belgique;14;Lambic;spontanée;6,2;75 cl;Lembeek;; ;Frank Boon Franboise;;
Frank Boon geuze;Boon;Belgique;17;Lambic;spontanée;4;37,5;Lembeek;Une  gueuze  extraordinaire. Couleur abricot, trouble, arôme boisé, sur et vert, mousse abondante de belle tenue, bonne  saturation , petite bulles. Goût évolutif, acide, sur et amer, rappelant certains cidres. Excellente  gueuze   lambic  traditionnelle, très brute, déconcertante. Un must !!;Gueuze sur lie, fabriquée à  Lembeek  par un des derniers coupeurs de  lambic .;Frank Boon geuze;;
Frank Boon Kriek;Boon;Belgique;16,5;Lambic;spontanée;4,5;37,5;Lembeek;Kriek  lambic , rosée, transparente, sur levure. Mousse rose claire, fine et fugace. Saturation assez faible. Nez de  lambic  excellement fruité et acide. Saveur pleine, acidité rapeuse remarquable, fruitée, sure. Très bon équilibre fruité/acidité.  Kriek remarquable, brute et authentique !; Kriek  sur lie. Frank Boon est un des derniers vrai coupeur de lambic.;Frank Boon Kriek;;
Frater Ambrosius;Eylenbosch;Belgique;15;Lambic;spontanée;5;75 cl;Schepdaal;Lambic  framboisé, rose-orangé, léger trouble, mousse blanche fine abondante mais fugace. Nez très fruité, pointe acide à peine perceptible. Goût fruité très présent, douceur et acidité équilibrée et agréable, tons bruts et boisés, à peine râpeux. Equilibre nuancé de force et d'acidité fruitée.;Lambic aromatisé sur lie.;Frater Ambrosius;;
Fritz braü;de Saverne;France;9;Pils;basse;4,9;25 cl;Saverne;Une  pils  pâle et limpide, mousse classique de  pils  (serrée et abondante) qui retombe relativement vite. Arôme bien houblonné, saveur faible, légère amertume. Bière très moyenne, bien faite mais manque singulièrement de personnalité.;Médaille d'or 86-87, institut international sélections de la qualité.;Fritz braü;;
Fruit Defendu;Interbrew;Belgique;14;Spéciale;Haute;8,8;33 cl;Hoegaarden;Biére de couleur rouge ambré .;;Fruit Defendu;;
Fuller's ESB export;Fuller;Angleterre;15;Pale Ale;haute;5,9;33 cl;Londres;Pale Ale  orangée, cristalline, assez peu saturée. Mousse peu serrée. Odeur fine, équilibrée et complexe de  malt  et houblons amers et aromatiques. Saveur sèche et amère, bouche maltée au fruité subtilement acide. Amertume bien balancée. Corps ferme, post-amertume agréable. Un classique !;ESB signifie;Fuller's ESB export;;
Fürstenberg pilsener;Fürstenberg;Allemagne;13,5;Pils;basse;4,8;50 cl;Donaueschingen;Pils jaune doré, cristalline, mousse blanche de durée moyenne. Arôme assez puissant, juste équilibre de  malt  et  houblon . Saveur assez sèche, amertume forte et durable, post-amertume fine et longue. Bon exemple typique de ce que devrait être une pils.Un classique.;;Fürstenberg pilsener;;
Gala pils;Brassée pour G.B-INNO;Belgique;10;Pils;basse;5;25 cl;;Pils  cristalline bien  saturée  en bulles moyennes à petites, sa mousse est blanche et serrée et de durée moyenne. Arôme malté correctement houblonné. Saveur sans surprise, à peine piquante, subtilement douce et amère. Faible durée de goût. Arrière goût malté prolongé (légèrement oxydé). Moyenne.;Bière brassée pour GB-INNO (chaîne de supermarchés belges);Gala pils;;
Gambrinus;Battin;Luxembourg;12,5;Pils;basse;5,2;33 et 50 cl;Esch/Alzette;Pils assez claire, cristalline, mousse peu serrée de bulles moyennes, de tenue assez courte,  saturation  faible. Arôme profond et doux de  malt . Saveur maltée, bonne amertume non excessive, arrière-goût amer persistant.  pils  luxembourgeoise bien faite et sans surprise . Agréable et corsée.;Existe aussi en version 'Urtyp' (Dortmund);Gambrinus;;
Gambrinus 10%;Gambrinus;République Tchéque;12,5;Pils;basse;3,5;50 cl;Plzen;Jaune dorée, cristalline, finement saturée. Mousse blanche se déployant en chapeau stable. Nez de  houblon  frais et fruité avec une pointe amère. Goût agréable, saveur de  malt  bien balancée, amertume équilibrée.  Pils  bien faite, agréable, rafraîchissante et assez corsée.;;Gambrinus 10%;;
Ganter export dunkel;Ganter;Allemagne;10,5;Dortmund;basse;5,2;50 cl;Freiburg;Couleur brun-brûlé profond, limpide, mousse abondante assez serrée. Arôme discret, peu marqué. Saveur de  malt  légèrement grillé, amertume nette et affirmée, mais manque de personnalité et de caractère évident. Peu de relief, peu d'ampleur. Bière très moyenne.;;Ganter export dunkel;;
Ganter heller maibock;Ganter;Allemagne;14,5;Bock;basse;6,8;50 cl;Freiburg;Bière rousse limpide, finement saturée. Mousse claire et fine, assez tenace Saveur ronde et corsée, léger goût de  caramel , amertume aromatique. Post-amertume équilibrée et durable. Du caractère et de la tenue. A déguster bien fraîche.;;Ganter heller maibock;;
Gapers bier ansold;Verhaege;Belgique;14,5;Spéciale;haute;5;25 cl;Vichte;Spéciale cuivrée, limpide et bien  saturée . Mousse serrée-crémeuse, tenace. Arôme richement malté, doux et profond, léger nez de  houblon . Saveur douce et bien maltée, moelleuse, fruitée et caramélisée. Bière qui a de la mâche. Arrière goût bien en bouche, tenace. Bonne bière fruitée et peu amère.;Admirez sa mousse formant un chapeau.;Gapers bier ansold;;
Gauloise;Du bocq;Belgique;15;Spéciale;haute;9;33 cl;Purnode;Une bière couleur acajou, trouble, mousse beige abondante et vivante. Nez équilibré, mais assez intense, de malt-caramel réglissé. Saveur douce, bouche moelleuse, aux tons d'alcool légèrement piquants. Saveur subtilement vineuse, acreté moyenne, amertume relativement faible. Ronde et capiteuse.;Bière belge ronde, forte et douce.;Gauloise;;
Gayant spéciale Noël;Enfants de Gayant;France;12;Bière de Noël;basse;6,2;25 cl;Douai;Bière ambrée-orangée, cristalline, mousse abondante, serrée, assez tenace. Peu  saturée , bulles fines. Arôme pénétrant de  malt  doux, bien houblonné (nez amer) et alcoolisé. Saveur douce, amère, caramélisée, post-saveur maltée, longue et amère. Corsée mais manque de finesse et de rondeur.;Depuis 1919.;Gayant spéciale Noël;;
Gentse tripel;De hopduvel;Belgique;13,5;Spéciale;haute;8;33 cl;Gand;Spéciale  dorée, trouble, mousse blanche abondante moyennement serrée et très stable. Odeur à dominante houblonnée, arôme de  malt  léger, subtil fruité toutefois intense. Saveur bien houblonnée, amertume et acreté de la  levure , bouche peu épicée, mi-sèche. Corps marqué, de la mâche,  capiteuse .;Bière de fermentation haute, acre, amère, assez sèche au fruité subtil.;Gentse tripel;;
Gerstelbrau;;;;;;;;;;;Gerstel Brau;;
Gildenbier;Haacht;Belgique;12;Spéciale;haute;7;25 cl;Boortmeerbeek;;;Gildenbier;;
Ginder Ale;Martinas;Belgique;11,5;Spéciale;haute;5,1;25 cl;Merchtem;Ambrée rousse, belle mousse, très pétillante à l'ouverture. Bon arôme de  malt , bien houblonnée, cette bière manque quand même de personnalité. Pas mauvaise, ni franchement bonne.;;Ginder Ale;;
Giraf;Albani Breweries;Danemark;14;Ale;Basse;6,9;33 cl;Odense;Bière blonde légèrement amer. ;;;;
Girardin Gueuze 1882;Girardin;Belgique;15;Lambic;spontanée;5;75 cl;Sint-Ulriks-Kapelle;Gueuze dorée, limpide (sur lie), mousse tenace mais aérée, peu saturée. Nez équilibré, agréable et boisé, arômes surs et acides (pomme). Saveur sure, acidité équilibrée et sèche. Légère amertume surannée. Bon lambic de type traditionnel, sur levure, équilibré, mi-doux mais assez brut.;Brasserie familiale et artisanale depuis 1882. Gueuze lambic sur lie.;Girardin Gueuze 1882;;
Girardin Kriek 1882;Girardin;Belgique;16;Lambic;spontanée;5;25, 37.5 et 75 cl;Sint-Ulriks-Kapelle;Kriek  grenadine, assez foncée, transparente, plate (saturation faible), peu de mousse. Arôme équilibré entre le fruité et l'acide. Saveur mi-douce sure et légèrement acide.  lambic  aromatisé sur lie exemplaire, ni trop doux, ni trop sur, bon équilibre général, légère amertume. Un classique !;Brasserie familiale et artisanale depuis 1882.  kriek lambic  sur lie.;Girardin Kriek 1882;;
Glühkriek;Liefmans;Belgique;12;Spéciale;haute;6,5;25 cl;Oudenaarde;Bière étrange à la cerise très fruitée sans mousse car elle se déguste à 70°C , équivaut à un excellent vin chaud à la cerise.;;Liefmans Glühkriek;;
Godefroy;Du grand enclos;Belgique;14;Spéciale;haute;5,8;33 cl;Bouillon;De couleur blonde-abricot, limpide, très saturée en bulles moyennes, mousse blanche formant un chapeau. Arôme à dominante maltée et fruitée, nez de  levure  aromatique, acre et frais. Saveur de levure parfumée et acre, goût amer équilibré, corps moyen. Goût doux et aromatique, coule très bien.;Bière fine et douce, agréable et assez légère.;Godefroy;;
Golden promise;Caledonian Brewery;Ecosse;15,5;Pale Ale;haute;5,01;50 cl;Edinburgh;Jaune-ambrée, transparente, mousse claire serrée, finement saturée. Arôme de  malt  léger, nez aromatique de  houblon , doux, fin et discret. Saveur nette, alliance équilibrée de  houblon  aromatique et de  malt  doux. Rondeur aromatique en fond de première bouche, post-amertume franche. Bonne  Ale .;Pale Ale;Golden promise;;
Gordon Finest Gold;;Ecosse;12,5;Spéciale;haute;10;33 cl;Edinburgh;Bière dorée, limpide, bien saturée, bulles fines, mousse blanche peu serrée de tenue moyenne. Arôme de  malt  douceâtre, nez liquoreux (prune et banane). Saveur douce, houblonnage amer et concentré. Dominante maltée intense, bouche peu épicée, post-amertume équilibrée et assez longue, corps marqué.;Bière  spéciale , forte, douce et bien maltée.;Gordon Finest Gold;;
Gordon Xmas Ale;;Ecosse;13;Bière de Noël;haute;8,8;33 cl;Edinburgh;Couleur acajou foncé, mousse abondante et crémeuse mais qui s'aére assez vite.  Saturation  moyenne. Arôme distingué, amer, légèrement torréfié et caramélisé. Saveur riche, sucrée, caramélisée contrastant étonamment avec une post-amertume longue et prononcée et un arrière-goût légèrement grillé.;Bière de Noël brassée en Ecosse pour John Martin.;Gordon Xmas Ale;;
Gouden carolus;Het anker;Belgique;14;Spéciale;haute;8,3;33 cl;Mechelen (Malines);Brun-rouge, léger trouble, peu  saturée , mousse abondante mais peu serrée de tenue moyenne. Arôme légèrement vineux et caramélisé, moelleux et assez puissant. Bouche pleine, moelleuse, très amère et légèrement vineuse, aux nuances liquoreuses. Arrière goût amer persistant et grillé. Très forte.;'Carolus d'or' en français. Bière très typée, riche et puissante;Gouden carolus;;
